nööp.n.01,hüponüümid,near_synonym,['trukk.n.01']
oksendama.v.01,hüponüümid,near_synonym,['öökima.v.01']
olemine.n.01,hüponüümid,near_antonym,['mitteolemine.n.01']
omand.n.01,hüponüümid,fuzzynym,['erastamisväärtpaber.n.01']
halvaendeline.a.01,near_antonym,hüperonüümid,['endeline.a.01']
toit.n.01,hüperonüümid,near_synonym,"['toiduaine.n.01', 'toit.n.02']"
pluus.n.01,hüponüümid,near_antonym,['alussärk.n.01']
arvutiprogramm.n.01,fuzzynym,hüponüümid,['programmiredaktor.n.01']
protest.n.02,hüponüümid,near_synonym,['vaidlustus.n.01']
ravi.n.01,hüponüümid,near_synonym,['Gestalt-teraapia.n.01']
pruun.a.01,hüponüümid,near_synonym,['helepruun.a.01']
pruun.a.01,hüperonüümid,near_synonym,['värviline.a.01']
psühholoogia.n.01,hüponüümid,meronüümid,"['karakteroloogia.n.01', 'kohtupsühholoogia.n.01']"
rajanema.v.01,hüponüümid,near_synonym,['rajama.v.02']
põllumajandus.n.01,hüponüümid,fuzzynym,['tõuaretus.n.01']
tee.n.04,hüponüümid,near_synonym,['lennurada.n.01']
rakk.n.01,hüponüümid,meronüümid,['organell.n.01']
rõivas.n.01,meronüümid,fuzzynym,['fiibula.n.01']
roosa.a.01,hüponüümid,near_synonym,['beebiroosa.a.01']
roosa.a.01,near_synonym,hüperonüümid,['värviline.a.01']
seade.n.02,hüperonüümid,holonüümid,['masin.n.01']
valima.v.01,hüponüümid,is_subevent_of,['leidma.v.03']
side.n.08,meronüümid,sünonüüm,['side.n.08']
side.n.08,meronüümid,holonüümid,"['elastiinkiud.n.01', 'side.n.08', 'sidekude.n.01']"
side.n.08,sünonüüm,holonüümid,['side.n.08']
suhkur.n.01,hüponüümid,near_antonym,['rafineerimata suhkur.n.01']
suhtlus.n.01,hüponüümid,meronüümid,['toon.n.01']
säästma.v.02,hüponüümid,near_synonym,['võitma.v.04']
takistus.n.01,hüponüümid,fuzzynym,['liivabunker.n.01']
teadmine.n.01,hüponüümid,fuzzynym,['tõene põhjendatud uskumus.n.01']
teos.n.01,hüponüümid,fuzzynym,['etüüd.n.01']
toiduaine.n.01,hüponüümid,meronüümid,['agar-agar.n.01']
toiduaine.n.01,hüponüümid,fuzzynym,"['sooda.n.01', 'küpsetuspulber.n.01']"
toiduaine.n.01,meronüümid,hüperonüümid,['toit.n.03']
toit.n.03,hüponüümid,holonüümid,['toiduaine.n.01']
toode.n.01,hüponüümid,near_synonym,['võrguväljaanne.n.01']
tugevus.n.01,hüponüümid,fuzzynym,['mehejõud.n.01']
andmetöötlus.n.01,hüponüümid,fuzzynym,['teadmuse esitus.n.01']
usklik.n.01,hüponüümid,state_of,['fraater.n.01']
vaip.n.01,hüponüümid,role,['kilim.n.01']
aktiva.n.01,hüponüümid,fuzzynym,"['futuur.n.01', 'põhikapital.n.01']"
vähk.n.02,hüponüümid,meronüümid,['kasvaja.n.01']
vähk.n.02,meronüümid,is_caused_by,['kasvajarakk.n.01']
värvaine.n.01,hüponüümid,meronüümid,['oksiidpunane.n.01']
värvaine.n.01,hüponüümid,involved,"['ookerkollane.n.01', 'küprose umbra.n.01']"
värviline.a.01,hüponüümid,near_synonym,['oranž.a.01']
ülekandenumber.n.01,role,fuzzynym,['ülekanne.n.05']
ülekanne.n.05,involved,fuzzynym,['ülekandenumber.n.01']
